name	x	y	z	label_10_20	region
E126	5.652969839760395e-16	-9.232000350952148	2.546999931335449	Oz	scalp
E127	1.093000054359435	-8.741000175476074	4.138000011444092	n/a	scalp
E128	1.73199999332428	-7.638999938964843	5.693999767303468	n/a	scalp
E129	2.148999929428101	-6.291999816894533	7.114999771118164	n/a	scalp
E130	2.295000076293945	-4.877999782562256	8.272000312805176	n/a	scalp
E131	2.236000061035156	-2.957999944686889	8.925000190734863	n/a	scalp
E132	1.995000004768374	-0.6100000143051155	9.288999557495117	n/a	scalp
E133	-3.456000089645386	-8.572999954223633	-6.827000141143799	n/a	neck
E134	-2.714999914169312	-8.946000099182129	-5.553999900817871	n/a	neck
E135	-2.032000064849855	-9.562000274658203	-3.450000047683716	n/a	scalp
E136	-0.9190000295639045	-9.626999855041504	-2.210999965667725	n/a	neck_edge
E137	5.869119808271974e-16	-9.585000038146973	-0.8859999775886535	n/a	scalp
E138	1.016999959945678	-9.717000007629395	0.9549999833106994	n/a	scalp
E139	1.945000052452088	-9.234000205993652	2.621000051498413	n/a	scalp
E140	3.243000030517578	-8.152999877929688	4.21999979019165	PO4	scalp
E141	3.752000093460084	-6.677000045776368	5.63700008392334	n/a	scalp
E142	4.038000106811523	-5.23799991607666	7.045000076293946	P2	scalp
E143	4.125000000000002	-3.54800009727478	7.953999996185302	CP2	scalp
E144	3.723999977111817	-1.146000027656555	8.586999893188477	n/a	scalp
E145	-1.884999990463258	-9.220000267028809	-6.798999786376952	n/a	neck
E146	-1.060999989509585	-9.534000396728516	-5.453000068664551	n/a	neck
E147	5.806662676694099e-16	-9.482999801635742	-3.842000007629395	n/a	scalp
E148	0.9190000295639035	-9.626999855041504	-2.210999965667725	n/a	neck_edge
E149	2.201999902725219	-9.708999633789062	-0.6380000114440918	n/a	scalp
E150	3.132999897003175	-9.135999679565431	0.8190000057220461	O2	scalp
E151	4.290999889373779	-8.11299991607666	2.384000062942504	n/a	scalp
E152	5.107999801635744	-6.74900007247925	3.921000003814697	n/a	scalp
E153	5.531000137329102	-5.461999893188477	5.501999855041503	P4	scalp
E154	5.652999877929686	-3.845999956130981	6.520999908447267	n/a	scalp
E155	5.403999805450439	-1.611999988555908	7.473000049591064	n/a	scalp
E156	1.060999989509582	-9.534000396728516	-5.453000068664551	n/a	neck
E157	2.032000064849852	-9.562000274658203	-3.450000047683716	n/a	scalp
E158	3.026999950408934	-9.454000473022463	-1.958999991416932	n/a	neck_edge
E159	4.136000156402589	-8.612000465393066	-1.044999957084656	n/a	scalp
E160	5.236999988555907	-7.573999881744385	0.4659999907016754	n/a	scalp
E161	5.968999862670899	-6.52899980545044	2.032999992370606	PO8	scalp
E162	6.48799991607666	-5.157999992370605	3.473000049591064	P6	scalp
E163	6.86899995803833	-3.793999910354614	4.894000053405762	n/a	scalp
E164	6.81599998474121	-1.945000052452087	5.931000232696533	CP4	scalp
E165	1.884999990463257	-9.220000267028809	-6.798999786376952	n/a	neck
E166	2.714999914169312	-8.946000099182129	-5.553999900817871	n/a	neck
E167	3.621999979019165	-8.593000411987305	-4.041999816894531	n/a	scalp
E168	5.27299976348877	-7.466000080108641	-2.875	n/a	neck_edge
E169	5.984000205993655	-6.747000217437744	-1.402999997138977	P10	scalp
E170	6.676000118255615	-5.736000061035156	0.1019999980926514	T6-P8	scalp
E171	7.151999950408936	-4.710999965667724	1.51800000667572	n/a	scalp
E172	7.461999893188477	-3.493000030517579	2.959000110626221	CP6	scalp
E173	7.564000129699707	-2.311000108718872	4.302999973297119	n/a	scalp
E174	3.456000089645387	-8.572999954223631	-6.827000141143799	n/a	neck
E175	4.203999996185303	-7.811999797821046	-5.843999862670898	n/a	neck
E176	5.083000183105469	-7.326000213623046	-4.321000099182129	n/a	scalp
E177	6.314000129699707	-6.013000011444094	-3.259000062942505	n/a	neck_edge
E178	6.991000175476074	-5.017000198364259	-1.888000011444091	n/a	scalp
E179	7.521999835968018	-3.700000047683717	-0.5139999985694885	TP8	scalp
E180	7.793000221252441	-2.73200011253357	1.100000023841858	n/a	scalp
E181	8.059000015258787	-1.503000020980835	2.767999887466431	n/a	scalp
E182	7.607999801635742	-0.5680000185966492	4.598999977111816	n/a	scalp
E183	6.703000068664552	0.0599999986588955	6.239999771118165	C4	scalp
E184	5.314000129699706	0.6010000109672544	7.487999916076662	n/a	scalp
E185	3.536999940872191	1.070999979972839	8.473999977111816	C2	scalp
